time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter,.Quality
2022/10/11/16:48:59.084155,168,1665546539,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:00.070282,169,1665546540,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:01.075459,170,1665546541,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:02.067700,171,1665546542,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:03.069414,172,1665546543,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:04.079351,173,1665546544,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:05.077888,174,1665546545,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:06.071717,175,1665546546,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:07.075426,176,1665546547,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:08.072854,177,1665546548,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:09.075539,178,1665546549,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:10.071404,179,1665546550,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:11.079237,180,1665546551,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:12.072480,181,1665546552,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:13.067979,182,1665546553,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:14.074604,183,1665546554,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:15.074326,184,1665546555,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:16.077197,185,1665546556,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:17.066396,186,1665546557,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:18.070812,187,1665546558,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:49:19.071466,188,1665546559,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:20.069780,189,1665546560,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:21.068295,190,1665546561,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:22.070442,191,1665546562,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:23.069586,192,1665546563,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:24.064323,193,1665546564,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:25.067141,194,1665546565,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:26.071836,195,1665546566,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:49:27.079436,196,1665546567,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
